cliente_id,nome,cpf_fake,data_nascimento,sexo,cidade,estado,segmento
143,Nelson Vieira,503.587.875-45,1983-11-27,F,Belo Horizonte,MG,PF
144,Elaine Ribeiro,700.946.785-97,2003-05-20,F,Recife,PE,PF
145,Rafael Gomes,624.353.991-67,1963-02-10,F,Campinas,SP,PF
146,Juliana Ferreira,317.385.335-84,1996-09-16,F,Uberaba,MG,PF
147,Aline Alves,183.765.598-16,1984-04-06,F,Ribeirão Preto,SP,PF
148,Rafael Costa,651.777.752-57,1992-07-24,M,Ribeirão Preto,SP,PF
149,Marcelo Lima,401.247.111-42,1964-05-05,M,São Paulo,SP,PF
150,Isabela Silva,668.133.997-62,1999-02-10,F,São Paulo,SP,PF
151,Karina Soares,364.964.265-95,1960-07-06,F,Curitiba,PR,PF
152,Ana Fernandes,353.441.482-98,2000-10-22,M,Belo Horizonte,MG,PF
153,Rafael Oliveira,325.974.411-35,1989-08-08,M,São Paulo,SP,PF
154,João Ribeiro,673.723.410-21,1975-03-10,M,Campinas,SP,PF
155,João Oliveira,456.585.135-17,1960-04-26,F,Goiânia,GO,PF
156,Vanessa Carvalho,925.132.465-77,1987-06-30,F,Salvador,BA,PF
157,Diego Ferreira,395.544.177-80,1963-12-08,M,Recife,PE,PF
158,Henrique Carvalho,670.865.876-41,1987-05-25,F,São Paulo,SP,PF
159,Rodrigo Almeida,136.411.230-57,1994-10-17,F,Goiânia,GO,PF
160,Aline Lopes,231.928.641-32,1972-01-11,F,Uberlândia,MG,PF
161,João Oliveira,928.791.493-23,1970-09-28,F,Brasília,DF,PF
162,Thiago Vieira,409.625.788-33,1969-12-27,F,Belo Horizonte,MG,PF
163,Bruno Rodrigues,767.354.321-49,1970-02-12,M,Uberlândia,MG,PF
164,Henrique Silva,244.463.421-34,1965-02-15,F,Curitiba,PR,PF
165,Elaine Ribeiro,797.398.724-74,1971-03-28,M,Uberaba,MG,PF
166,Rafael Pereira,698.342.845-31,1989-09-02,M,Campinas,SP,PF
167,João Soares,349.886.405-72,1973-08-12,F,Belo Horizonte,MG,PF
168,Nelson Soares,138.652.881-73,1995-02-21,F,Curitiba,PR,PF
169,Aline Alves,623.863.368-43,1996-11-13,M,Rio de Janeiro,RJ,PF
170,Gabriela Barbosa,162.727.750-76,1994-03-30,M,Goiânia,GO,PF
171,Vanessa Ferreira,773.214.698-77,1984-04-12,F,Salvador,BA,PF
172,Thiago Costa,283.528.920-46,1974-03-26,F,Campinas,SP,PF
173,Vinícius Ferreira,777.576.691-65,2001-11-05,M,Uberaba,MG,PF
174,Bruno Vieira,685.800.913-36,1969-03-27,F,Belo Horizonte,MG,PF
175,Fábio Souza,934.664.635-39,1980-11-26,F,Uberaba,MG,PF
176,Patrícia Silva,474.685.426-35,1980-05-31,F,Uberaba,MG,PF
177,Isabela Lima,836.473.679-12,1984-08-09,F,São Paulo,SP,PF
178,Bruno Barbosa,169.862.227-80,1995-12-24,M,Uberaba,MG,PF
179,Elaine Fernandes,909.532.895-48,2001-05-12,F,Brasília,DF,PF
180,Carla Almeida,955.313.484-44,1977-07-30,F,Belo Horizonte,MG,PF
181,Marcelo Fernandes,804.139.844-12,1999-05-15,M,Brasília,DF,PF
182,Gabriela Fernandes,383.635.230-53,1967-08-21,F,Ribeirão Preto,SP,PF
183,Diego Costa,996.840.127-62,2001-03-23,F,Curitiba,PR,PF
184,Otávio Alves,637.161.684-56,1968-01-04,M,Goiânia,GO,PF
185,Ana Lopes,712.367.329-75,1998-04-06,F,Salvador,BA,PF
186,Karina Carvalho,748.245.294-62,1977-07-24,M,Campinas,SP,PF
187,Mariana Pereira,845.281.296-81,2003-05-29,F,São Paulo,SP,PF
188,Priscila Santos,726.911.804-94,1965-10-24,F,Brasília,DF,PF
189,Fernanda Almeida,269.344.313-14,1980-12-12,F,Brasília,DF,PF
190,Lucas Ferreira,800.694.177-27,2000-08-02,M,Campinas,SP,PF
191,Ana Vieira,271.462.509-35,1962-02-19,F,Goiânia,GO,PF
192,Aline Rodrigues,936.291.605-48,1971-12-05,F,Campinas,SP,PF
193,Ana Oliveira,448.842.979-10,1963-10-05,M,São Paulo,SP,PF
194,Carla Soares,516.207.489-64,1974-06-16,F,São Paulo,SP,PF
195,Priscila Souza,470.377.380-36,1977-07-24,M,Salvador,BA,PF
196,Fernanda Souza,392.436.718-18,1987-11-07,F,Curitiba,PR,PF
197,Lucas Ribeiro,136.564.712-33,1971-08-06,M,Belo Horizonte,MG,PF
198,Rodrigo Fernandes,280.661.445-75,1967-02-21,F,Recife,PE,PF
199,Bruno Souza,231.208.596-44,1967-08-25,M,Curitiba,PR,PF
200,Isabela Alves,755.555.418-24,2002-03-25,F,Uberlândia,MG,PF
201,Bruno Lopes,246.779.303-54,2002-11-23,M,Curitiba,PR,PF
202,João Barbosa,835.907.340-19,1969-12-18,M,Brasília,DF,PF
203,Otávio Costa,796.717.397-62,1968-10-17,F,Salvador,BA,PF
204,Nelson Oliveira,269.729.753-36,1962-06-09,F,Campinas,SP,PF
205,Aline Silva,521.400.128-21,2003-03-05,F,Goiânia,GO,PF
206,Fábio Rodrigues,962.509.232-13,1991-10-11,M,São Paulo,SP,PF
207,Isabela Oliveira,417.983.445-98,1994-03-28,M,São Paulo,SP,PF
208,Ana Carvalho,539.786.806-12,1973-01-28,M,Brasília,DF,PF
209,Bruno Oliveira,105.929.938-21,1988-11-04,F,Rio de Janeiro,RJ,PF
210,Isabela Costa,680.930.954-36,1962-09-10,M,Salvador,BA,PF
211,Vinícius Carvalho,834.681.934-23,1990-06-03,F,Rio de Janeiro,RJ,PF
212,Fernanda Ribeiro,640.122.421-11,1986-01-31,M,Brasília,DF,PF
213,Mariana Souza,498.829.691-38,1974-12-01,F,Goiânia,GO,PF
214,Marcelo Soares,483.430.757-33,1991-12-21,M,Ribeirão Preto,SP,PF
215,Ana Almeida,182.555.846-52,1989-02-02,M,Rio de Janeiro,RJ,PF
216,Carla Almeida,283.141.948-77,1979-10-03,M,São Paulo,SP,PF
217,Juliana Oliveira,239.166.216-43,1968-05-26,F,São Paulo,SP,PF
218,Nelson Oliveira,829.243.836-10,1961-01-22,F,Salvador,BA,PF
219,Sandra Vieira,764.353.963-52,2002-03-14,M,Brasília,DF,PF
220,Carla Pereira,343.318.843-45,1972-08-29,F,Ribeirão Preto,SP,PF
221,Bruno Alves,416.761.583-69,1973-07-31,F,Salvador,BA,PF
222,Diego Gomes,500.157.105-13,1990-08-25,M,Recife,PE,PF
223,Patrícia Carvalho,616.561.772-89,1971-06-26,M,São Paulo,SP,PF
224,João Barbosa,256.960.937-64,1976-11-28,M,Goiânia,GO,PF
225,Patrícia Ferreira,576.258.260-11,1992-01-02,M,Campinas,SP,PF
226,Aline Vieira,680.489.272-21,1986-10-17,F,Curitiba,PR,PF
227,Otávio Silva,157.676.716-66,1989-07-17,F,Recife,PE,PF
228,Sandra Ribeiro,199.137.195-76,1960-03-17,M,Goiânia,GO,PF
229,Elaine Martins,765.365.149-38,1980-04-23,F,Rio de Janeiro,RJ,PF
230,Marcelo Oliveira,827.228.815-51,1981-05-21,F,Brasília,DF,PF
231,Rodrigo Oliveira,227.939.566-69,1988-06-17,F,Salvador,BA,PF
232,Fernanda Lima,186.434.668-67,1966-10-25,M,Ribeirão Preto,SP,PF
233,Ana Barbosa,156.643.949-79,1967-03-06,M,Ribeirão Preto,SP,PF
234,Elaine Ribeiro,286.920.713-15,1994-04-24,F,Campinas,SP,PF
235,Fábio Vieira,215.928.288-18,1990-04-20,F,Recife,PE,PF
236,Fernanda Soares,505.572.615-68,1996-07-03,F,Brasília,DF,PF
237,Mariana Gomes,997.782.123-17,1972-03-06,M,Belo Horizonte,MG,PF
238,Vanessa Lopes,100.455.414-93,2004-11-22,F,Uberlândia,MG,PF
239,Marcelo Silva,429.127.894-33,1972-04-11,M,Goiânia,GO,PF
240,Vanessa Oliveira,920.796.891-82,1989-04-17,F,Rio de Janeiro,RJ,PF
241,Isabela Soares,228.662.470-65,1967-04-19,F,Campinas,SP,PF
242,Henrique Lopes,770.550.381-91,2001-05-02,F,Goiânia,GO,PF
243,Nelson Rodrigues,696.896.313-84,1974-12-16,M,Rio de Janeiro,RJ,PF
244,Karina Costa,390.513.873-41,1996-02-11,F,Goiânia,GO,PF
245,Fernanda Martins,325.923.966-37,1974-11-27,F,Salvador,BA,PF
246,Vinícius Fernandes,375.304.121-59,1995-08-04,F,Brasília,DF,PF
247,Fernanda Martins,329.863.253-66,1980-06-09,F,Curitiba,PR,PF
248,Isabela Lima,555.650.201-51,1962-10-24,F,Rio de Janeiro,RJ,PF
249,Diego Pereira,662.406.886-57,1968-07-26,M,Brasília,DF,PF
250,Vinícius Lima,425.127.251-52,1990-10-03,F,Uberlândia,MG,PF
251,Diego Carvalho,459.883.806-24,1968-09-07,F,Campinas,SP,PF
252,Aline Fernandes,631.508.190-69,1972-05-22,F,Belo Horizonte,MG,PF
253,Isabela Gomes,582.178.520-75,1984-05-18,M,Goiânia,GO,PF
254,Patrícia Rodrigues,394.420.199-28,1971-05-22,F,Belo Horizonte,MG,PF
255,Isabela Rodrigues,982.658.258-52,1965-10-19,F,Goiânia,GO,PF
256,Bruno Almeida,273.498.230-65,1988-02-04,F,Ribeirão Preto,SP,PF
257,Marcelo Soares,612.669.498-35,1991-01-01,F,Uberlândia,MG,PF
258,Aline Oliveira,324.293.486-50,1992-12-27,F,Belo Horizonte,MG,PF
259,Priscila Santos,705.147.353-85,2002-06-24,M,Goiânia,GO,PF
260,Otávio Ribeiro,922.936.375-22,1965-08-08,F,Uberlândia,MG,PF
261,Karina Oliveira,278.218.958-88,1979-03-17,F,Salvador,BA,PF
262,Fábio Soares,828.756.408-52,1970-07-13,F,Rio de Janeiro,RJ,PF
263,João Alves,856.832.566-84,2000-07-20,F,Curitiba,PR,PF
264,Vinícius Oliveira,411.471.854-43,1984-04-16,M,Uberaba,MG,PF
265,Vinícius Vieira,776.507.367-29,1964-06-04,M,Rio de Janeiro,RJ,PF
266,Sandra Souza,645.531.432-76,1991-02-23,M,Brasília,DF,PF
267,Elaine Ferreira,100.182.964-69,1961-12-07,F,Ribeirão Preto,SP,PF
268,Sandra Souza,594.113.637-48,1972-05-03,M,Uberlândia,MG,PF
269,Nelson Oliveira,639.136.595-61,1992-06-18,F,Goiânia,GO,PF
270,Rafael Silva,360.149.973-73,1982-10-09,M,Rio de Janeiro,RJ,PF
271,Rodrigo Santos,658.789.703-21,1994-03-31,M,Uberlândia,MG,PF
272,Fábio Souza,508.898.358-96,1985-09-14,M,Uberlândia,MG,PF
273,Juliana Santos,157.397.414-64,1997-12-09,M,Ribeirão Preto,SP,PF
274,Mariana Ribeiro,258.305.695-35,1985-04-25,F,Goiânia,GO,PF
275,Patrícia Carvalho,890.882.372-59,1962-07-22,F,Campinas,SP,PF
276,Juliana Pereira,399.410.702-36,1963-03-17,M,Campinas,SP,PF
277,Juliana Alves,234.332.935-33,1994-12-18,F,São Paulo,SP,PF
278,Bruno Costa,427.665.190-33,1961-09-26,M,Uberlândia,MG,PF
279,Fernanda Fernandes,257.931.938-77,1976-12-11,M,Uberlândia,MG,PF
280,Gustavo Fernandes,322.654.695-87,1960-09-21,M,Belo Horizonte,MG,PF
281,Rafael Silva,240.761.274-60,1973-08-25,F,Curitiba,PR,PF
282,Otávio Souza,890.155.233-82,1986-10-13,M,Rio de Janeiro,RJ,PF
283,Priscila Rodrigues,116.715.550-40,1967-10-14,F,Campinas,SP,PF
284,Gabriela Rodrigues,875.863.393-10,1980-12-22,F,Uberlândia,MG,PF
285,Vanessa Ribeiro,215.196.983-63,2004-10-27,F,Ribeirão Preto,SP,PF
286,Aline Lima,708.307.864-74,1963-03-04,M,Recife,PE,PF
287,Isabela Silva,776.520.727-58,1962-11-12,M,Uberaba,MG,PF
288,Ana Pereira,445.634.391-94,1972-03-16,M,Campinas,SP,PF
289,Vinícius Costa,744.764.744-49,1997-03-20,M,Goiânia,GO,PF
290,Priscila Oliveira,954.286.611-16,1978-04-06,F,São Paulo,SP,PF
291,Carla Soares,364.616.540-93,1988-10-11,F,Campinas,SP,PF
292,Diego Santos,651.469.483-64,1961-07-10,M,Campinas,SP,PF
293,Mariana Vieira,811.348.625-61,1993-01-29,F,Campinas,SP,PF
294,Camila Santos,108.920.612-31,1963-01-13,F,Curitiba,PR,PF
295,Marcelo Soares,669.709.922-13,1992-01-11,M,Goiânia,GO,PF
296,Juliana Vieira,471.261.616-54,1966-08-28,M,Uberlândia,MG,PF
297,Henrique Barbosa,527.982.577-46,1998-08-19,F,Uberlândia,MG,PF
298,João Soares,160.360.906-50,1973-04-29,M,Ribeirão Preto,SP,PF
299,Sandra Lopes,918.578.592-48,1968-04-08,F,Salvador,BA,PF
300,Thiago Martins,600.159.151-52,1975-02-25,F,Uberlândia,MG,PF
301,Thiago Lopes,637.595.485-36,1960-01-14,F,Uberlândia,MG,PF
302,Fernanda Oliveira,737.643.142-50,1967-06-07,M,Curitiba,PR,PF
303,Juliana Costa,739.804.357-92,1986-12-08,F,Campinas,SP,PF
304,João Costa,685.493.663-87,1973-07-14,F,Uberaba,MG,PF
305,Bruno Fernandes,303.235.495-17,1975-12-04,M,Uberaba,MG,PF
306,Marcelo Gomes,851.972.644-97,1996-04-29,M,Brasília,DF,PF
307,Gustavo Pereira,161.668.498-34,1965-07-27,M,Goiânia,GO,PF
308,Camila Martins,380.590.676-24,1977-10-25,M,Brasília,DF,PF
309,Henrique Ferreira,652.932.109-88,1968-05-17,M,São Paulo,SP,PF
310,Bruno Oliveira,646.407.760-64,1981-09-23,M,Goiânia,GO,PF
311,Nelson Gomes,791.173.153-67,1974-12-05,M,Salvador,BA,PF
312,Elaine Lima,372.314.478-74,1962-01-29,M,São Paulo,SP,PF
313,Thiago Rodrigues,261.974.478-23,1963-02-28,F,Ribeirão Preto,SP,PF
314,Karina Pereira,163.870.201-47,1998-05-10,F,Belo Horizonte,MG,PF
315,Patrícia Pereira,701.561.336-19,1962-07-24,M,Brasília,DF,PF
316,Fernanda Alves,739.540.143-26,1995-03-23,F,Uberlândia,MG,PF
317,Nelson Pereira,605.251.451-21,2001-03-22,M,Uberaba,MG,PF
318,Fábio Carvalho,816.666.804-14,1980-12-17,F,Curitiba,PR,PF
319,Henrique Ferreira,437.340.659-83,1974-01-17,M,Uberlândia,MG,PF
320,Gustavo Vieira,304.791.621-83,1994-12-08,F,Recife,PE,PF
321,Camila Vieira,173.990.490-34,2004-03-14,M,Ribeirão Preto,SP,PF
322,Marcelo Gomes,264.985.894-21,1965-06-02,F,Ribeirão Preto,SP,PF
323,Gustavo Alves,499.759.631-26,2003-05-26,F,Goiânia,GO,PF
324,Nelson Costa,423.430.359-95,2002-06-21,F,Brasília,DF,PF
325,Aline Soares,282.735.919-80,1966-06-01,M,Campinas,SP,PF
326,Otávio Carvalho,818.242.219-79,1962-06-18,F,Salvador,BA,PF
327,Gabriela Soares,771.766.476-56,1992-03-04,M,Recife,PE,PF
328,Rafael Costa,113.361.575-21,1963-06-30,F,Uberaba,MG,PF
329,Fernanda Martins,216.140.288-98,1987-01-14,F,Curitiba,PR,PF
330,Carla Ferreira,725.952.331-63,1962-11-30,M,São Paulo,SP,PF
331,Fábio Almeida,901.416.690-71,1991-01-30,F,Recife,PE,PF
332,Bruno Rodrigues,848.971.653-61,1970-06-05,F,São Paulo,SP,PF
333,Sandra Carvalho,881.715.425-66,1964-04-30,M,São Paulo,SP,PF
334,Patrícia Fernandes,593.305.563-65,1962-12-30,M,Curitiba,PR,PF
335,Vinícius Oliveira,912.621.248-97,1968-06-26,M,Rio de Janeiro,RJ,PF
336,Aline Martins,619.358.778-44,1984-05-02,F,Belo Horizonte,MG,PF
337,Vanessa Santos,432.854.879-56,1963-06-13,M,Goiânia,GO,PF
338,Thiago Almeida,435.876.255-76,1996-02-07,F,Ribeirão Preto,SP,PF
339,Sandra Santos,625.867.478-84,1987-03-10,M,Brasília,DF,PF
340,Patrícia Vieira,113.781.162-67,1973-05-18,M,Goiânia,GO,PF
341,Rodrigo Oliveira,275.966.791-19,2004-05-25,F,Recife,PE,PF
